name,symbol,logoUrl
ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ATAGY,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATAGY.png
ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,ATAKP,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATAKP.png
ATP YAZILIM VE TEKNOLOJİ A.Ş.,ATATP,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATATP.png
AKIN TEKSTİL A.Ş.,ATEKS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATEKS.png
ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,ATLAS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATLAS.png
ATLANTİS YATIRIM HOLDİNG A.Ş.,ATSYH,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATSYH.png
AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AVGYO,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AVGYO.png
AVRUPA YATIRIM HOLDİNG A.Ş.,AVHOL,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AVHOL.png
A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,AVOD,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AVOD.png
AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,AVTUR,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AVTUR.png
ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,AYCES,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AYCES.png
AYDEM YENİLENEBİLİR ENERJİ A.Ş.,AYDEM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AYDEM.png
AYEN ENERJİ A.Ş.,AYEN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AYEN.png
AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,AYES,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AYES.png
AYGAZ A.Ş.,AYGAZ,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AYGAZ.png
AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,AZTEK,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AZTEK.png
BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,BAGFS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BAGFS.png
BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,BAKAB,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BAKAB.png
BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,BALAT,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BALAT.png
BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,BANVT,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BANVT.png
BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,BARMA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BARMA.png
BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,BASCM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BASCM.png
BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BASGZ,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BASGZ.png
BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,BAYRK,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BAYRK.png
BERA HOLDİNG A.Ş.,BERA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BERA.png
BEYAZ FİLO OTO KİRALAMA A.Ş.,BEYAZ,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BEYAZ.png
BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,BFREN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BFREN.png
BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,BIENY,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BIENY.png
BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,BIGCH,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BIGCH.png
BİM BİRLEŞİK MAĞAZALAR A.Ş.,BIMAS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BIMAS.png
BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,BIOEN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BIOEN.png
BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,BIZIM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BIZIM.png
BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,BLCYT,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BLCYT.png
BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,BMSCH,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BMSCH.png
BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,BMSTL,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BMSTL.png
BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.,BNTAS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BNTAS.png
BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,BOBET,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BOBET.png
BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,BOSSA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BOSSA.png
BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,BRISA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BRISA.png
BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,BRKO,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BRKO.png
BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,BRKSN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BRKSN.png
BİRİKİM VARLIK YÖNETİM A.Ş.,BRKVY,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BRKVY.png
BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,BRLSM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BRLSM.png
BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,BRMEN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BRMEN.png
BORUSAN MANNESMANN BORU SANAYİ VE TİCARET A.Ş.,BRSAN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BRSAN.png
BORUSAN YATIRIM VE PAZARLAMA A.Ş.,BRYAT,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/BRYAT.png
