name,symbol
GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.,GESAN
GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.,GIPTA
GLOBAL MENKUL DEĞERLER A.Ş.,GLBMD
GELECEK VARLIK YÖNETİMİ A.Ş.,GLCVY
GÜLER YATIRIM HOLDİNG A.Ş.,GLRYH
GLOBAL YATIRIM HOLDİNG A.Ş.,GLYHO
GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.,GMTAS
GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.,GOKNR
GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.,GOLTS
GOODYEAR LASTİKLERİ T.A.Ş.,GOODY
GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,GOZDE
GARANTİ YATIRIM ORTAKLIĞI A.Ş.,GRNYO
GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.,GRSEL
GRAINTURK TARIM A.Ş.,GRTRK
GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.,GSDDE
GSD HOLDİNG A.Ş.,GSDHO
GÜBRE FABRİKALARI T.A.Ş.,GUBRF
GALATA WIND ENERJİ A.Ş.,GWIND
GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.,GZNMI
TÜRKİYE HALK BANKASI A.Ş.,HALKB
HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.,HATEK
HAT-SAN GEMİ İNŞAA BAKIM ONARIM DENİZ NAKLİYAT SANAYİ VE TİCARET A.Ş.,HATSN
HEDEF GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,HDFGS
HEDEF HOLDİNG A.Ş.,HEDEF
HEKTAŞ TİCARET T.A.Ş.,HEKTS
HİDROPAR HAREKET KONTROL TEKNOLOJİLERİ MERKEZİ SANAYİ VE TİCARET A.Ş.,HKTM
HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,HLGYO
HİTİT BİLGİSAYAR HİZMETLERİ A.Ş.,HTTBT
HUB GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,HUBVC
HUN YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,HUNER
HÜRRİYET GAZETECİLİK VE MATBAACILIK A.Ş.,HURGZ
ICBC TURKEY BANK A.Ş.,ICBCT
ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,ICUGS
İDEAL FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.,IDEAS
İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,IDGYO
IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.,IEYHO
İHLAS HABER AJANSI A.Ş.,IHAAS
İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.,IHEVA
İHLAS GAZETECİLİK A.Ş.,IHGZT
İHLAS HOLDİNG A.Ş.,IHLAS
İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.,IHLGM
İHLAS YAYIN HOLDİNG A.Ş.,IHYAY
İMAŞ MAKİNA SANAYİ A.Ş.,IMASM
İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,INDES
İNFO YATIRIM MENKUL DEĞERLER A.Ş.,INFO
INGRAM MİCRO BİLİŞİM SİSTEMLERİ A.Ş.,INGRM
İNTEMA İNŞAAT VE TESİSAT MALZEMELERİ YATIRIM VE PAZARLAMA A.Ş.,INTEM
INVEO YATIRIM HOLDİNG A.Ş.,INVEO
INVESTCO HOLDİNG A.Ş.,INVES
İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.,IPEKE
TÜRKİYE İŞ BANKASI A.Ş.,ISATR
İŞBİR HOLDİNG A.Ş.,ISBIR
TÜRKİYE İŞ BANKASI A.Ş.,ISBTR
TÜRKİYE İŞ BANKASI A.Ş.,ISCTR
İSKENDERUN DEMİR VE ÇELİK A.Ş.,ISDMR
İŞ FİNANSAL KİRALAMA A.Ş.,ISFIN
İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,ISGSY
İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ISGYO
IŞIK PLASTİK SANAYİ VE DIŞ TİCARET PAZARLAMA A.Ş.,ISKPL
TÜRKİYE İŞ BANKASI A.Ş.,ISKUR
İŞ YATIRIM MENKUL DEĞERLER A.Ş.,ISMEN
İŞBİR SENTETİK DOKUMA SANAYİ A.Ş.,ISSEN
İŞ YATIRIM ORTAKLIĞI A.Ş.,ISYAT
İTTİFAK HOLDİNG A.Ş.,ITTFH
İZDEMİR ENERJİ ELEKTRİK ÜRETİM A.Ş.,IZENR
İZMİR FIRÇA SANAYİ VE TİCARET A.Ş.,IZFAS
İZ YATIRIM HOLDİNG A.Ş.,IZINV
İZMİR DEMİR ÇELİK SANAYİ A.Ş.,IZMDC
JANTSA JANT SANAYİ VE TİCARET A.Ş.,JANTS
KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.,KAPLM
KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,KAREL
KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.,KARSN
KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.,KARTN
KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,KARYE
KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.,KATMR
KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.,KCAER
KOÇ HOLDİNG A.Ş.,KCHOL
KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.,KENT
KERVANSARAY YATIRIM HOLDİNG A.Ş.,KERVN
KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.,KERVT
KAFEİN YAZILIM HİZMETLERİ TİCARET A.Ş.,KFEIN
KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KGYO
ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.,KIMMR
KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KLGYO
KALEKİM KİMYEVİ MADDELER SANAYİ VE TİCARET A.Ş.,KLKIM
KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.,KLMSN
TÜRKİYE KALKINMA VE YATIRIM BANKASI A.Ş.,KLNMA
KİLER HOLDİNG A.Ş.,KLRHO
KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.,KLSER
KOLEKSİYON MOBİLYA SANAYİ A.Ş.,KLSYN
KİMTEKS POLİÜRETAN SANAYİ VE TİCARET A.Ş.,KMPUR
KONFRUT GIDA SANAYİ VE TİCARET A.Ş.,KNFRT
KONYA KAĞIT SANAYİ VE TİCARET A.Ş.,KONKA
KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.,KONTR
KONYA ÇİMENTO SANAYİİ A.Ş.,KONYA
KOZA POLYESTER SANAYİ VE TİCARET A.Ş.,KOPOL
KORDSA TEKNİK TEKSTİL A.Ş.,KORDS
KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.,KOZAA
KOZA ALTIN İŞLETMELERİ A.Ş.,KOZAL
KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,KRDMA
KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,KRDMB
KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,KRDMD
KÖRFEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KRGYO
KRON TEKNOLOJİ A.Ş.,KRONT
KOROPLAST TEMİZLİK AMBALAJ ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.,KRPLS
KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.,KRSTL
KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.,KRTEK
KERVAN GIDA SANAYİ VE TİCARET A.Ş.,KRVGD
KUŞTUR KUŞADASI TURİZM ENDÜSTRİSİ A.Ş.,KSTUR
KATILIMEVİM TASARRUF FİNANSMAN A.Ş.,KTLEV
KÜTAHYA ŞEKER FABRİKASI A.Ş.,KTSKR
KÜTAHYA PORSELEN SANAYİ A.Ş.,KUTPO
KUVVA GIDA TİCARET VE SANAYİ YATIRIMLARI A.Ş.,KUVVA
KUYAŞ YATIRIM A.Ş.,KUYAS
KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KZBGY
KUZUGRUP GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KZGYO
LDR TURİZM A.Ş.,LIDER
LİDER FAKTORİNG A.Ş.,LIDFA
LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş.,LINK
LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş.,LKMNH
LOGO YAZILIM SANAYİ VE TİCARET A.Ş.,LOGO
LÜKS KADİFE TİCARET VE SANAYİİ A.Ş.,LUKSK
MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.,MAALT
MACKOLİK İNTERNET HİZMETLERİ TİCARET A.Ş.,MACKO
MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş.,MAGEN
MAKİM MAKİNA TEKNOLOJİLERİ SANAYİ VE TİCARET A.Ş.,MAKIM
MAKİNA TAKIM ENDÜSTRİSİ A.Ş.,MAKTK
MANAS ENERJİ YÖNETİMİ SANAYİ VE TİCARET A.Ş.,MANAS
MARKA YATIRIM HOLDİNG A.Ş.,MARKA
MAVİ GİYİM SANAYİ VE TİCARET A.Ş.,MAVI
MEDİTERA TIBBİ MALZEME SANAYİ VE TİCARET A.Ş.,MEDTR
MEGA POLİETİLEN KÖPÜK SANAYİ VE TİCARET A.Ş.,MEGAP
MEPET METRO PETROL VE TESİSLERİ SANAYİ TİCARET A.Ş.,MEPET
MERCAN KİMYA SANAYİ VE TİCARET A.Ş.,MERCN
MERİT TURİZM YATIRIM VE İŞLETME A.Ş.,MERIT
METRO TİCARİ VE MALİ YATIRIMLAR HOLDİNG A.Ş.,METRO
METEMTUR YATIRIM ENERJİ TURİZM VE İNŞAAT A.Ş.,METUR
MİGROS TİCARET A.Ş.,MGROS
MİA TEKNOLOJİ A.Ş.,MIATK
MİLPA TİCARİ VE SINAİ ÜRÜNLER PAZARLAMA SANAYİ VE TİCARET A.Ş.,MIPAZ
MMC SANAYİ VE TİCARİ YATIRIMLAR A.Ş.,MMCAS
MENDERES TEKSTİL SANAYİ VE TİCARET A.Ş.,MNDRS
MONDİ TURKEY OLUKLU MUKAVVA KAĞIT VE AMBALAJ SANAYİ A.Ş.,MNDTR
MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.,MOBTL
MLP SAĞLIK HİZMETLERİ A.Ş.,MPARK
MARSHALL BOYA VE VERNİK SANAYİİ A.Ş.,MRSHL
MİSTRAL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,MSGYO
MATRİKS BİLGİ DAĞITIM HİZMETLERİ A.Ş.,MTRKS
METRO YATIRIM ORTAKLIĞI A.Ş.,MTRYO
MAZHAR ZORLU HOLDİNG A.Ş.,MZHLD
NATUREL YENİLENEBİLİR ENERJİ TİCARET A.Ş.,NATEN
NETAŞ TELEKOMÜNİKASYON A.Ş.,NETAS
NİĞBAŞ NİĞDE BETON SANAYİ VE TİCARET A.Ş.,NIBAS
NATURELGAZ SANAYİ VE TİCARET A.Ş.,NTGAZ
NET HOLDİNG A.Ş.,NTHOL
NUROL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,NUGYO
